english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
barrel (container),noun,ബാരൽ / വീപ്പ,bāral / vīppa,,c1
barrel (of a gun),noun,കുഴൽ / തോക്കിന്റെ കുഴൽ,kuḻal / tōkkinṟe kuḻal,,c1
bass (fish),noun,ബാസ് മത്സ്യം,bās matsyaṁ,,c1
bass (instrument),noun,ബാസ്,bās,,c1
bass (sound frequency),noun,ബാസ് ശബ്ദം / താഴ്ന്ന ആവൃത്തിയിലുള്ള ശബ്ദം,bās śabdaṁ / tāḻnna āvr̥ttiyiluḷḷa śabdaṁ,,c1
battlefield (metaphorical),noun,യുദ്ധക്കളം / പോർക്കളം / മത്സരക്കളം,yuddhakkaḷaṁ / pōrkkaḷaṁ / matsarakkaḷaṁ,,c1
bay (designated area),noun,നിർദ്ദിഷ്ട സ്ഥലം / പ്രത്യേക ഇടം,nirddiṣṭa sthalaṁ / pratyēka iṭaṁ,,c1
bay (geographical feature),noun,ഉൾക്കടൽ / കായൽ,uḷkkaṭal / kāyal,,c1
beam (ray of light),noun,കിരണം / രശ്മി / പ്രകാശരശ്മി,kiraṇaṁ / raśmi / prakāśaraśmi,,c1
beam (structural support),noun,ബീം / തുലാം / ഉത്തരവാദം,bīṁ / tulāṁ / uttaravādaṁ,,c1
beast (cruel person),noun,ക്രൂരൻ / ദുഷ്ടൻ / മൃഗം,krūran / duṣṭan / mr̥gaṁ,,c1
beast (wild animal),noun,മൃഗം / വന്യമൃഗം / ജന്തു,mr̥gaṁ / vanyamr̥gaṁ / jantu,,c1
behalf,noun,വേണ്ടി / പക്ഷം / ഭാഗം,vēṇṭi / pakṣaṁ / bhāgaṁ,,c1
beloved (person),noun,പ്രിയപ്പെട്ടയാൾ / കാമുകൻ / കാമുകി / പ്രിയൻ,priyappeṭṭayāḷ / kāmukan / kāmuki / priyan,,c1
"bench (judiciary, court)",noun,ബെഞ്ച് / ന്യായാസനം / കോടതി,beñc / nyāyāsanaṁ / kōṭati,,c1
bench (sports reserves),noun,ബെഞ്ച് / പകരക്കാർ,beñc / pakarakkār,,c1
benchmark,noun,മാനദണ്ഡം / നിലവാരം / അളവുകോൽ,mānadaṇḍaṁ / nilavāraṁ / aḷavukōl,,c1
"beneath (unworthy of, lower status)",adjective,താഴ്ന്ന / നിലവാരം കുറഞ്ഞ / യോഗ്യമല്ലാത്ത,tāḻnna / nilavāraṁ kuṟañña / yōgyamallātta,,c1
beneficiary,noun,ഗുണഭോക്താവ് / അവകാശി / ഉപഭോക്താവ്,guṇabhōktāv / avakāśi / upabhōktāv,,c1
bishop (chess piece),noun,ആന / ബിഷപ്പ്,āna / biṣapp,,c1
bishop (religious official),noun,ബിഷപ്പ് / മെത്രാൻ / അധ്യക്ഷൻ,biṣapp / metrān / adhyakṣan,,c1
bizarre,adjective,വിചിത്രമായ / അസാധാരണമായ / വിസ്മയകരമായ,vicitramāya / asādhāraṇamāya / vismayakaramāya,,c1
blade (cutting edge of a knife or razor),noun,ബ്ലേഡ് / വാൾത്തല / അഗ്രം,blēḍ / vāḷttala / agraṁ,,c1
blade (flat part of a leaf),noun,ഇലയുടെ ഭാഗം / ഇലത്തട്ട്,ilayuṭe bhāgaṁ / ilattaṭṭ,,c1
blade (vane of a fan or propeller),noun,ബ്ലേഡ് / ചിറക് / പങ്കായം,blēḍ / ciṟak / paṅkāyaṁ,,c1
blast (enjoyable time),noun,ആഘോഷം / ആനന്ദം / വിനോദം,āghōṣaṁ / ānandaṁ / vinōdaṁ,,c1
blast (explosion),noun,സ്ഫോടനം / പൊട്ടിത്തെറി / പ്രഹരം,sphōṭanaṁ / poṭṭitteṟi / praharaṁ,,c1
blend,noun,മിശ്രിതം / കൂട്ട് / ചേരുവ,miśritaṁ / kūṭṭ / cēruva,,c1
"blessing (boon, great advantage)",noun,അനുഗ്രഹം / വരം / ഭാഗ്യം / നേട്ടം,anugrahaṁ / varaṁ / bhāgyaṁ / nēṭṭaṁ,,c1
bonus,noun,ബോണസ് / അധികപണം / പാരിതോഷികം,bōṇas / adhikapaṇaṁ / pāritōṣikaṁ,,c1
boom (economic growth),noun,സാമ്പത്തിക വളർച്ച / കുതിച്ചുചാട്ടം / ഉണർവ്,sāmpattika vaḷarcca / kuticcucāṭṭaṁ / uṇarv,,c1
boom (sound),noun,മുഴക്കം / ഇടിമുഴക്കം / ശബ്ദം,muḻakkaṁ / iṭimuḻakkaṁ / śabdaṁ,,c1
"boundary (limit, scope)",noun,അതിര് / പരിധി / അതിർവരമ്പ്,atir / paridhi / atirvaramp,,c1
bow (of a ship),noun,കപ്പലിന്റെ മുൻഭാഗം / അഗ്രം,kappalinṟe munbhāgaṁ / agraṁ,,c1
breach (physical gap),noun,വിടവ് / വിള്ളൽ / ദ്വാരം,viṭav / viḷḷal / dvāraṁ,,c1
breach (violation),noun,ലംഘനം / നിയമലംഘനം / കരാർ ലംഘനം,laṁghanaṁ / niyamalaṁghanaṁ / karār laṁghanaṁ,,c1
breakdown (detailed analysis),noun,വിശദമായ വിശകലനം / തരംതിരിക്കൽ,viśadamāya viśakalanaṁ / taraṁtirikkal,,c1
breakdown (emotional collapse),noun,മാനസിക തകർച്ച / തളർച്ച,mānasika takarcca / taḷarcca,,c1
breakdown (mechanical failure),noun,യന്ത്രത്തകരാറ് / കേടുപാട് / തകരാറ്,yantrattakarāṟ / kēṭupāṭ / takarāṟ,,c1
"breakthrough (discovery, major advance)",noun,മുന്നേറ്റം / കണ്ടുപിടിത്തം / പുരോഗതി,munnēṟṟaṁ / kaṇṭupiṭittaṁ / purōgati,,c1
"breakthrough (military, strategic success)",noun,സൈനിക മുന്നേറ്റം / പ്രതിരോധം ഭേദിക്കൽ,sainika munnēṟṟaṁ / pratirōdhaṁ bhēdikkal,,c1
broadband,noun,ബ്രോഡ്‌ബാൻഡ് / അതിവേഗ ഇന്റർനെറ്റ്,brōḍbānḍ / ativēga inṟarneṟṟ,,c1
browser,noun,ബ്രൗസർ / വെബ് ബ്രൗസർ,brausar / veb brausar,,c1
brutal (cruel and violent),adjective,ക്രൂരമായ / നിഷ്ഠൂരമായ / മൃഗീയമായ,krūramāya / niṣṭhūramāya / mr̥gīyamāya,,c1
brutal (harsh or severe),adjective,കഠിനമായ / അതികഠിനമായ / തീവ്രമായ,kaṭhinamāya / atikaṭhinamāya / tīvramāya,,c1
buck (dollar),noun,ഡോളർ,ḍōḷar,,c1
buck (male animal),noun,ആൺമാൻ / ആൺകോലാട്,āṇmān / āṇkōlāṭ,,c1
"buddy (close friend, associate)",noun,കൂട്ടുകാരൻ / ചങ്ങാതി / സുഹൃത്ത്,kūṭṭukāran / caṅṅāti / suhr̥tt,,c1
buffer (computer memory),noun,ബഫർ / താൽക്കാലിക സംഭരണ സ്ഥലം,baphar / tālkkālika saṁbharaṇa sthalaṁ,,c1
buffer (protective barrier),noun,സംരക്ഷണ കവചം / പ്രതിരോധം,saṁrakṣaṇa kavacaṁ / pratirōdhaṁ,,c1
"buffer (reserve, cushion)",noun,കരുതൽ / സംഭരണം / താങ്ങ്,karutal / saṁbharaṇaṁ / tāṅṅ,,c1
bulk (majority or main part),noun,ഭൂരിഭാഗം / പ്രധാന ഭാഗം,bhūribhāgaṁ / pradhāna bhāgaṁ,,c1
bulk (size or mass),noun,വലുപ്പം / വ്യാപ്തം / പിണ്ഡം,valuppaṁ / vyāptaṁ / piṇḍaṁ,,c1
burden,noun,ഭാരം / ചുമട് / ബാധ്യത,bhāraṁ / cumaṭ / bādhyata,,c1
bureaucracy (administration),noun,ഉദ്യോഗസ്ഥഭരണം / ഭരണസംവിധാനം,udyōgasthabharaṇaṁ / bharaṇasaṁvidhānaṁ,,c1
"bureaucracy (excessive red tape, slowness)",noun,ചുവപ്പുനാട / കാലതാമസം / ഉദ്യോഗസ്ഥ ദുഷ്പ്രഭുത്വം,cuvappunāṭa / kālatāmasaṁ / udyōgastha duṣprabhutvaṁ,,c1
bureaucracy (red tape),noun,ചുവപ്പുനാട / നൂലാമാലകൾ,cuvappunāṭa / nūlāmālakaḷ,,c1
bureaucracy (system of administration),noun,ഉദ്യോഗസ്ഥഭരണം / ഭരണസംവിധാനം / കാര്യനിർവഹണ രീതി,udyōgasthabharaṇaṁ / bharaṇasaṁvidhānaṁ / kāryanirvahaṇa rīti,,c1
burial (funeral ceremony),noun,ശവസംസ്കാരം / അന്ത്യകർമ്മങ്ങൾ,śavasaṁskāraṁ / antyakarmmaṅṅaḷ,,c1
burial (physical interment),noun,അടക്കം / കുഴിച്ചിടൽ,aṭakkaṁ / kuḻicciṭal,,c1
"business scheme, plan",noun,പദ്ധതി / സ്കീം / തന്ത്രം,paddhati / skīṁ / tantraṁ,,c1
cabinet (political body),noun,മന്ത്രിസഭ / കാബിനറ്റ്,mantrisabha / kābinaṟṟ,,c1
cabinet (storage unit),noun,അലമാര / കാബിനറ്റ്,alamāra / kābinaṟṟ,,c1
calculation (strategic planning),noun,കണക്കുകൂട്ടൽ / തന്ത്രപരമായ ആസൂത്രണം / ഗണനം,kaṇakkukūṭṭal / tantraparamāya āsūtraṇaṁ / gaṇanaṁ,,c1
"canvas (for painting, art)",noun,ക്യാൻവാസ് / ചിത്രത്തകിട്,kyānvās / citrattakiṭ,,c1
"canvas (metaphorical framework, scope)",noun,വ്യാപ്തി / ചട്ടക്കൂട് / മണ്ഡലം,vyāpti / caṭṭakkūṭ / maṇḍalaṁ,,c1
capability (strategic resource or function),noun,കഴിവ് / ശേഷി / പ്രാപ്തി,kaḻiv / śēṣi / prāpti,,c1
capitalism,noun,മുതലാളിത്തം,mutalāḷittaṁ,,c1
capitalist,adjective,മുതലാളിത്തപരമായ / മുതലാളിത്ത,mutalāḷittaparamāya / mutalāḷitta,,c1
cargo,noun,ചരക്ക് / കാർഗോ,carakk / kārgō,,c1
carriage (bearing or posture),noun,നടപ്പ് / ഭാവം / ശരീരഭാഷ,naṭapp / bhāvaṁ / śarīrabhāṣa,,c1
carriage (train coach),noun,കോച്ച് / തീവണ്ടിപ്പെട്ടി,kōcc / tīvaṇṭippeṭṭi,,c1
casino,noun,കാസിനോ,kāsinō,,c1
casualty (loss or damage),noun,നഷ്ടം / നാശനഷ്ടം,naṣṭaṁ / nāśanaṣṭaṁ,,c1
casualty (person injured or killed),noun,ആൾനാശം / അപകടത്തിൽപ്പെട്ടയാൾ / മരണപ്പെട്ടയാൾ,āḷnāśaṁ / apakaṭattilppeṭṭayāḷ / maraṇappeṭṭayāḷ,,c1
cattle,noun,കന്നുകാലികൾ / കാലികൾ,kannukālikaḷ / kālikaḷ,,c1
caution (warning),noun,മുന്നറിയിപ്പ് / ജാഗ്രത,munnaṟiyipp / jāgrata,,c1
cautious (prudent or discerning),adjective,വിവേകമുള്ള / ശ്രദ്ധാലുവായ / ജാഗ്രതയുള്ള,vivēkamuḷḷa / śraddhāluvāya / jāgratayuḷḷa,,c1
cautious (wary or suspicious),adjective,സംശയമുള്ള / സൂക്ഷ്മതയുള്ള / ജാഗ്രതയുള്ള,saṁśayamuḷḷa / sūkṣmatayuḷḷa / jāgratayuḷḷa,,c1
cemetery (cremation ground),noun,ശ്മശാനം / ദഹനസ്ഥലം,śmaśānaṁ / dahanasthalaṁ,,c1
cemetery (graveyard),noun,സെമിത്തേരി / കല്ലറത്തോട്ടം,semittēri / kallaṟattōṭṭaṁ,,c1
chamber (formal room),noun,മുറി / അറ / സഭാമണ്ഡപം,muṟi / aṟa / sabhāmaṇḍapaṁ,,c1
chamber (internal cavity),noun,അറ / കുഴി / ഉൾഭാഗം,aṟa / kuḻi / uḷbhāgaṁ,,c1
chamber (legislative assembly),noun,സഭാമണ്ഡപം / ചേംബർ,sabhāmaṇḍapaṁ / cēṁbar,,c1
chaos (anarchy),noun,അരാജകത്വം / കുഴപ്പം / താറുമാറ്,arājakatvaṁ / kuḻappaṁ / tāṟumāṟ,,c1
"charm (appeal, attractiveness)",noun,ആകർഷണീയത / ഭംഗി / സൗന്ദര്യം,ākarṣaṇīyata / bhaṁgi / saundaryaṁ,,c1
charm (good luck amulet),noun,ഏലസ്സ് / ഭാഗ്യചിഹ്നം,ēlass / bhāgyacihnaṁ,,c1
"charter (document, constitution)",noun,ചാർട്ടർ / ഉടമ്പടി / പ്രമാണം,cārṭṭar / uṭampaṭi / pramāṇaṁ,,c1
"charter (lease, hiring agreement)",noun,വാടകക്കരാർ / ചാർട്ടർ,vāṭakakkarār / cārṭṭar,,c1
"chronic (habitual, inveterate)",adjective,സ്ഥിരമായ / പതിവായ,sthiramāya / pativāya,,c1
chronic (illness or condition),adjective,ദീർഘകാലമായ / പഴകിയ,dīrghakālamāya / paḻakiya,,c1
"chunk (large amount, portion)",noun,വലിയ ഭാഗം / കഷണം,valiya bhāgaṁ / kaṣaṇaṁ,,c1
chunk (piece of material),noun,കഷണം / തുണ്ട് / ഖണ്ഡം,kaṣaṇaṁ / tuṇṭ / khaṇḍaṁ,,c1
circulation (blood/fluid movement),noun,രക്തചംക്രമണം / ചംക്രമണം,raktacaṁkramaṇaṁ / caṁkramaṇaṁ,,c1
"circulation (movement, flow)",noun,ചംക്രമണം / ഒഴുക്ക് / പ്രവാഹം,caṁkramaṇaṁ / oḻukk / pravāhaṁ,,c1
circulation (publication count),noun,പ്രചാരം / വിതരണം,pracāraṁ / vitaraṇaṁ,,c1
citizenship,noun,പൗരത്വം,pauratvaṁ,,c1
civic (relating to citizen duty),adjective,പൗരപരമായ / പൗരധർമ്മപരമായ,pauraparamāya / pauradharmmaparamāya,,c1
civic (relating to city administration),adjective,നാഗരികമായ / പൗരസഭയുമായി ബന്ധപ്പെട്ട,nāgarikamāya / paurasabhayumāyi bandhappeṭṭa,,c1
civilian,noun,സാധാരണക്കാരൻ / പൗരൻ / സിവിലിയൻ,sādhāraṇakkāran / pauran / siviliyan,,c1
civilian (person),adjective,സാധാരണ / സിവിലിയൻ,sādhāraṇa / siviliyan,,c1
clarity,noun,വ്യക്തത / സ്പഷ്ടത / തെളിച്ചം,vyaktata / spaṣṭata / teḷiccaṁ,,c1
clash (of colors or styles),noun,ചേർച്ചയില്ലായ്മ / പൊരുത്തക്കേട്,cērccayillāyma / poruttakkēṭ,,c1
clash (scheduling conflict),noun,സമയക്കൂട്ടിമുട്ടൽ / പൊരുത്തക്കേട്,samayakkūṭṭimuṭṭal / poruttakkēṭ,,c1
clash (violent confrontation),noun,ഏറ്റുമുട്ടൽ / സംഘർഷം / കൂട്ടിമുട്ടൽ,ēṟṟumuṭṭal / saṁgharṣaṁ / kūṭṭimuṭṭal,,c1
classification,noun,വർഗ്ഗീകരണം / തരംതിരിക്കൽ,varggīkaraṇaṁ / taraṁtirikkal,,c1
clinical (detached),adjective,നിസ്സംഗമായ / വസ്തുനിഷ്ഠമായ,nissaṁgamāya / vastuniṣṭhamāya,,c1
clinical (medical),adjective,ക്ലിനിക്കൽ / ചികിത്സാപരമായ,klinikkal / cikitsāparamāya,,c1
closure (emotional resolution),noun,പരിഹാരം / സമാപ്തി / പൂർത്തീകരണം,parihāraṁ / samāpti / pūrttīkaraṇaṁ,,c1
closure (physical closing),noun,അടയ്ക്കൽ / അടവ് / നിർത്തലാക്കൽ,aṭaykkal / aṭav / nirttalākkal,,c1
"cluster (abstract, technical)",noun,കൂട്ടം / സമൂഹം / സഞ്ചയം / ഗണം,kūṭṭaṁ / samūhaṁ / sañcayaṁ / gaṇaṁ,,c1
coalition,noun,സഖ്യം / മുന്നണി / കൂട്ടുകെട്ട്,sakhyaṁ / munnaṇi / kūṭṭukeṭṭ,,c1
coastal,adjective,തീരദേശ / കടൽത്തീരത്തെ / തീരത്തെ,tīradēśa / kaṭalttīratte / tīratte,,c1
cocktail (mixed drink),noun,കോക്ടെയ്ൽ / മിശ്രിതപാനീയം,kōkṭeyl / miśritapānīyaṁ,,c1
"cocktail (party, event)",noun,കോക്ടെയ്ൽ പാർട്ടി / വിരുന്ന്,kōkṭeyl pārṭṭi / virunn,,c1
cognitive,adjective,വൈജ്ഞാനിക / ബോധപരമായ / ചിന്താപരമായ,vaijñānika / bōdhaparamāya / cintāparamāya,,c1
"collaboration (teamwork, partnership)",noun,സഹകരണം / കൂട്ടായ പ്രവർത്തനം / പങ്കാളിത്തം,sahakaraṇaṁ / kūṭṭāya pravarttanaṁ / paṅkāḷittaṁ,,c1
"collaboration (with the enemy, collusion)",noun,ഒത്തുകളി / ചതിച്ചുള്ള സഹകരണം / കൂട്ടുചേരൽ,ottukaḷi / caticcuḷḷa sahakaraṇaṁ / kūṭṭucēral,,c1
collective,adjective,കൂട്ടായ / സാമൂഹികമായ / പൊതുവായ,kūṭṭāya / sāmūhikamāya / potuvāya,,c1
"collision (clash of interests, ideas)",noun,ഏറ്റുമുട്ടൽ / സംഘർഷം / കൂട്ടിമുട്ടൽ,ēṟṟumuṭṭal / saṁgharṣaṁ / kūṭṭimuṭṭal,,c1
collision (physical impact),noun,കൂട്ടിയിടി / കൂട്ടിമുട്ടൽ / ആഘാതം,kūṭṭiyiṭi / kūṭṭimuṭṭal / āghātaṁ,,c1
collusion,noun,ഒത്തുകളി / ഗൂഢാലോചന / ഒത്തൊരുമിച്ചുള്ള വഞ്ചന,ottukaḷi / gūḍhālōcana / ottorumiccuḷḷa vañcana,,c1
colonial,adjective,കൊളോണിയൽ / കോളനിവൽക്കരണ / കോളനി,koḷōṇiyal / kōḷanivalkkaraṇa / kōḷani,,c1
columnist,noun,കോളമിസ്റ്റ് / പംക്തികാരൻ / ലേഖകൻ,kōḷamisṟṟ / paṁktikāran / lēkhakan,,c1
combat,noun,യുദ്ധം / പോരാട്ടം / ഏറ്റുമുട്ടൽ,yuddhaṁ / pōrāṭṭaṁ / ēṟṟumuṭṭal,,c1
"commentary (live broadcast, narration)",noun,വിവരണം / വ്യാഖ്യാനം / കമന്ററി,vivaraṇaṁ / vyākhyānaṁ / kamanṟaṟi,,c1
commentary (written analysis),noun,വ്യാഖ്യാനം / നിരൂപണം / വിശകലനം,vyākhyānaṁ / nirūpaṇaṁ / viśakalanaṁ,,c1
"commentator (academic, textual analyst)",noun,വ്യാഖ്യാതാവ് / നിരൂപകൻ / വിശകലന വിദഗ്ദ്ധൻ,vyākhyātāv / nirūpakan / viśakalana vidagddhan,,c1
commerce,noun,വാണിജ്യം / വ്യാപാരം / കച്ചവടം,vāṇijyaṁ / vyāpāraṁ / kaccavaṭaṁ,,c1
commissioner,noun,കമ്മീഷണർ / കാര്യനിർവാഹകൻ / അധ്യക്ഷൻ,kammīṣaṇar / kāryanirvāhakan / adhyakṣan,,c1
commodity,noun,ചരക്ക് / ഉൽപ്പന്നം / വിൽപനവസ്തു,carakk / ulppannaṁ / vilpanavastu,,c1
communist (person),adjective,കമ്മ്യൂണിസ്റ്റ് / കമ്മ്യൂണിസത്തെ സംബന്ധിച്ച,kammyūṇisṟṟ / kammyūṇisatte saṁbandhicca,,c1
companion (associate or partner in activity),noun,കൂട്ടുകാരൻ / സഹചാരി / പങ്കാളി,kūṭṭukāran / sahacāri / paṅkāḷi,,c1
companion (life partner),noun,പങ്കാളി / ഇണ / ജീവിതസഖി / സഹധർമ്മിണി,paṅkāḷi / iṇa / jīvitasakhi / sahadharmmiṇi,,c1
comparable (equivalent),adjective,താരതമ്യം ചെയ്യാവുന്ന / തുല്യമായ / സമാനമായ,tāratamyaṁ ceyyāvunna / tulyamāya / samānamāya,,c1
"compassion (profound, deep)",noun,കാരുണ്യം / ദയ / അനുകമ്പ,kāruṇyaṁ / daya / anukampa,,c1
"compelling (attractive, interesting)",adjective,ആകർഷകമായ / കൗതുകകരമായ / ശ്രദ്ധേയമായ,ākarṣakamāya / kautukakaramāya / śraddhēyamāya,,c1
compelling (fascinating),adjective,ആകർഷകമായ / കൗതുകമുണർത്തുന്ന / മനോഹരമായ,ākarṣakamāya / kautukamuṇarttunna / manōharamāya,,c1
"compelling (irrefutable, necessary)",adjective,അനിഷേധ്യമായ / ഒഴിച്ചുകൂടാനാവാത്ത / നിർബന്ധിതമായ,aniṣēdhyamāya / oḻiccukūṭānāvātta / nirbandhitamāya,,c1
compelling (necessary),adjective,ആവശ്യമായ / ഒഴിച്ചുകൂടാനാവാത്ത / നിർബന്ധിതമായ,āvaśyamāya / oḻiccukūṭānāvātta / nirbandhitamāya,,c1
"compensation (general, for loss)",noun,നഷ്ടപരിഹാരം / പ്രതിഫലം / നഷ്ടം നികത്തൽ,naṣṭaparihāraṁ / pratiphalaṁ / naṣṭaṁ nikattal,,c1
"compensation (salary, remuneration)",noun,ശമ്പളം / വേതനം / പ്രതിഫലം,śampaḷaṁ / vētanaṁ / pratiphalaṁ,,c1
competence,noun,കഴിവ് / പ്രാപ്തി / യോഗ്യത,kaḻiv / prāpti / yōgyata,,c1
competent (legally),adjective,യോഗ്യനായ / പ്രാപ്തിയുള്ള / നിയമപരമായി കഴിവുള്ള,yōgyanāya / prāptiyuḷḷa / niyamaparamāyi kaḻivuḷḷa,,c1
complexity,noun,സങ്കീർണ്ണത / ദുർഘടം,saṅkīrṇṇata / durghaṭaṁ,,c1
compliance (adherence to rules),noun,അനുസരണം / പാലനം / നിയമപാലനം,anusaraṇaṁ / pālanaṁ / niyamapālanaṁ,,c1
compliance (patient adherence),noun,അനുസരണം / സഹകരണം / ചികിത്സാ അനുസരണം,anusaraṇaṁ / sahakaraṇaṁ / cikitsā anusaraṇaṁ,,c1
complication (medical),noun,സങ്കീർണ്ണത / രോഗസങ്കീർണ്ണത / പ്രശ്നം,saṅkīrṇṇata / rōgasaṅkīrṇṇata / praśnaṁ,,c1
"composition (makeup, structure)",noun,ഘടന / രൂപീകരണം / ചേരുവ,ghaṭana / rūpīkaraṇaṁ / cēruva,,c1
composition (written essay),noun,ഉപന്യാസം / രചന / ലേഖനം,upanyāsaṁ / racana / lēkhanaṁ,,c1
"composition (written essay, artwork)",noun,രചന / കൃതി / ഉപന്യാസം,racana / kr̥ti / upanyāsaṁ,,c1
compromise (damage to security or integrity),noun,സുരക്ഷാ ലംഘനം / സുരക്ഷാ വീഴ്ച / കോട്ടം,surakṣā laṁghanaṁ / surakṣā vīḻca / kōṭṭaṁ,,c1
compromise (damage to security),noun,സുരക്ഷാ ലംഘനം / സുരക്ഷാ വീഴ്ച,surakṣā laṁghanaṁ / surakṣā vīḻca,,c1
conception (biological),noun,ഗർഭധാരണം / ബീജസങ്കലനം,garbhadhāraṇaṁ / bījasaṅkalanaṁ,,c1
"conception (idea, understanding)",noun,ആശയം / ധാരണ / സങ്കൽപ്പം,āśayaṁ / dhāraṇa / saṅkalppaṁ,,c1
concession (act of yielding),noun,വിട്ടുവീഴ്ച / വഴങ്ങിക്കൊടുക്കൽ,viṭṭuvīḻca / vaḻaṅṅikkoṭukkal,,c1
concession (admission of truth),noun,ഏറ്റുപറച്ചിൽ / സമ്മതം / അംഗീകാരം,ēṟṟupaṟaccil / sammataṁ / aṁgīkāraṁ,,c1
"concession (discount, grant)",noun,ഇളവ് / ആനുകൂല്യം / കിഴിവ്,iḷav / ānukūlyaṁ / kiḻiv,,c1
concession (special right),noun,ഇളവ് / ആനുകൂല്യം / പ്രത്യേകാവകാശം,iḷav / ānukūlyaṁ / pratyēkāvakāśaṁ,,c1
confession,noun,കുറ്റസമ്മതം / ഏറ്റുപറച്ചിൽ,kuṟṟasammataṁ / ēṟṟupaṟaccil,,c1
configuration (system settings),noun,കോൺഫിഗറേഷൻ / ക്രമീകരണം / സംവിധാനം,kōṇphigaṟēṣan / kramīkaraṇaṁ / saṁvidhānaṁ,,c1
confirmation,noun,സ്ഥിരീകരണം / ഉറപ്പ് / അംഗീകാരം,sthirīkaraṇaṁ / uṟapp / aṁgīkāraṁ,,c1
confrontation,noun,ഏറ്റുമുട്ടൽ / മുഖാമുഖം / സംഘർഷം,ēṟṟumuṭṭal / mukhāmukhaṁ / saṁgharṣaṁ,,c1
congregation (general assembly),noun,സമ്മേളനം / കൂട്ടായ്മ / സഭ,sammēḷanaṁ / kūṭṭāyma / sabha,,c1
congregation (religious gathering),noun,ആരാധനാസമൂഹം / വിശ്വാസിസമൂഹം / സഭ,ārādhanāsamūhaṁ / viśvāsisamūhaṁ / sabha,,c1
"congressional (relating to a legislature, assembly)",adjective,നിയമനിർമ്മാണസഭയുമായി ബന്ധപ്പെട്ട / പാർലമെന്ററി,niyamanirmmāṇasabhayumāyi bandhappeṭṭa / pārlamenṟaṟi,,c1
congressional (relating to the political party),adjective,കോൺഗ്രസ്സിന്റെ / കോൺഗ്രസ്സ് പാർട്ടിയുമായി ബന്ധപ്പെട്ട,kōṇgrassinṟe / kōṇgrass pārṭṭiyumāyi bandhappeṭṭa,,c1
conscience,noun,മനസ്സാക്ഷി / ധാർമ്മികബോധം,manassākṣi / dhārmmikabōdhaṁ,,c1
"consciousness (collective, philosophical)",noun,ബോധം / അവബോധം / ചിന്താമണ്ഡലം,bōdhaṁ / avabōdhaṁ / cintāmaṇḍalaṁ,,c1
consciousness (state of awareness),noun,ബോധം / ഉണർവ്വ് / അറിവ്,bōdhaṁ / uṇarvv / aṟiv,,c1
consecutive,adjective,തുടർച്ചയായ / ക്രമമായ / അനുക്രമമായ,tuṭarccayāya / kramamāya / anukramamāya,,c1
consensus,noun,സമവായം / പൊതുവായ അഭിപ്രായം / ഐക്യകണ്ഠേനയുള്ള തീരുമാനം,samavāyaṁ / potuvāya abhiprāyaṁ / aikyakaṇṭhēnayuḷḷa tīrumānaṁ,,c1
consent (formal assent),noun,സമ്മതം / അംഗീകാരം / അനുമതി,sammataṁ / aṁgīkāraṁ / anumati,,c1
consent (permission),noun,അനുമതി / സമ്മതം / അനുവാദം,anumati / sammataṁ / anuvādaṁ,,c1
consistency (physical state),noun,ഘടന / കട്ടി / സാന്ദ്രത,ghaṭana / kaṭṭi / sāndrata,,c1
"consistency (reliability, uniformity)",noun,സ്ഥിരത / ഏകീകൃതത്വം / വിശ്വാസ്യത,sthirata / ēkīkr̥tatvaṁ / viśvāsyata,,c1
constituency (electoral district),noun,മണ്ഡലം / തിരഞ്ഞെടുപ്പ് മണ്ഡലം,maṇḍalaṁ / tiraññeṭupp maṇḍalaṁ,,c1
constituency (group of voters),noun,വോട്ടർമാർ / വോട്ടർ സമൂഹം,vōṭṭarmār / vōṭṭar samūhaṁ,,c1
constitution (governing law),noun,ഭരണഘടന / നിയമസംഹിത,bharaṇaghaṭana / niyamasaṁhita,,c1
constitution (physical makeup),noun,ശരീരപ്രകൃതി / ഘടന / സ്വഭാവം,śarīraprakr̥ti / ghaṭana / svabhāvaṁ,,c1
"constitutional (legal, political)",adjective,ഭരണഘടനാപരമായ / ഭരണഘടനാസംബന്ധിയായ,bharaṇaghaṭanāparamāya / bharaṇaghaṭanāsaṁbandhiyāya,,c1
"constitutional (of the body, health)",adjective,ശാരീരികമായ / പ്രകൃതിപരമായ,śārīrikamāya / prakr̥tiparamāya,,c1
constraint (lack of ease),noun,നിയന്ത്രണം / പരിമിതി / തടസ്സം,niyantraṇaṁ / parimiti / taṭassaṁ,,c1
constraint (limitation or restriction),noun,പരിമിതി / നിയന്ത്രണം / തടസ്സം / നിബന്ധന,parimiti / niyantraṇaṁ / taṭassaṁ / nibandhana,,c1
consultation (formal deliberation),noun,കൂടിയാലോചന / ചർച്ച / ആലോചന,kūṭiyālōcana / carcca / ālōcana,,c1
consultation (professional advice),noun,ഉപദേശം / അഭിപ്രായം / കൺസൾട്ടേഷൻ,upadēśaṁ / abhiprāyaṁ / kaṇsaḷṭṭēṣan,,c1
contempt (disdain),noun,പുച്ഛം / അവജ്ഞ / നിന്ദ,pucchaṁ / avajña / ninda,,c1
contempt (legal offense),noun,കോടതിയലക്ഷ്യം,kōṭatiyalakṣyaṁ,,c1
