id,english_word,word_class,kannada_translation,verb_transitivity,level
7710,slow (mentally dull),adjective,ಮಂದ / ಜಡ,N/A,a1
7711,to slow (intransitive),verb,ನಿಧಾನಿಸು / ನಿಧಾನವಾಗು,intransitive,b1
7712,to slow (transitive),verb,ನಿಧಾನ ಮಾಡು / ವೇಗ ಕಡಿಮೆ ಮಾಡು,transitive,b1
7713,slowly,adverb,ನಿಧಾನವಾಗಿ / ಮೆಲ್ಲಗೆ,N/A,a2
7714,"small (quantity, amount)",adjective,ಸ್ವಲ್ಪ / ಕಡಿಮೆ / ಅಲ್ಪ,N/A,a1
7715,"small (young, junior)",adjective,ಚಿಕ್ಕ / ಸಣ್ಣ / ಕಿರಿಯ,N/A,a1
7716,smart (intelligent),adjective,ಬುದ್ಧಿವಂತ / ಜಾಣ / ಚುರುಕು,N/A,b1
7717,"smart (stylish, neat)",adjective,ಸೊಗಸಾದ / ಅಂದವಾದ / ಆಕರ್ಷಕ,N/A,b1
7718,smartphone,noun,ಸ್ಮಾರ್ಟ್ಫೋನ್,N/A,a2
7719,to smash (to break violently),verb,ಪುಡಿ ಮಾಡು / ಒಡೆದು ಹಾಕು / ಛಿದ್ರಗೊಳಿಸು,transitive,c1
7720,to smash (to hit powerfully),verb,ಬಲವಾಗಿ ಹೊಡೆ / ಗುದ್ದಿ ಹಾಕು,transitive,c1
7721,smell (fragrance),noun,ಸುಗಂಧ / ಸುವಾಸನೆ / ಪರಿಮಳ,N/A,a2
7722,smell (stench),noun,ದುರ್ವಾಸನೆ / ಕೆಟ್ಟ ವಾಸನೆ,N/A,a2
7723,to smell (perceive odor),verb,ವಾಸನೆ ನೋಡು / ಮೂಸಿ ನೋಡು,transitive,a2
7724,to smell (emit odor),verb,ವಾಸನೆ ಬರು / ವಾಸನೆ ಬೀರು,intransitive,a2
7725,"smile (gentle, subtle)",noun,ಮಂದಹಾಸ,N/A,a2
7726,smile (general),noun,ನಗು,N/A,a1
7727,to smile / to laugh,verb,ನಗು,intransitive,a2
7728,to smoke (consume tobacco),verb,ಸೇದು,transitive,a2
7729,"to smoke (to emit smoke, smolder)",verb,ಹೊಗೆ ಹಾಕು / ಹೊಗೆಯಾಡು,intransitive,a2
7730,smoking,noun,ಧೂಮಪಾನ,N/A,a2
7731,smooth (texture),adjective,ನುಣುಪಾದ / ಮೃದುವಾದ / ಮೆತ್ತಗಿನ,N/A,b1
7732,"smooth (easy, effortless)",adjective,ಸುಗಮವಾದ / ಸಲೀಸಾದ / ನಿರಾಯಾಸವಾದ,N/A,b1
7733,snake,noun,ಹಾವು,N/A,a1
7734,to snap (break suddenly),verb,ಮುರಿ / ಕಳಚು,intransitive,c1
7735,to snap (take a quick photo),verb,ಫೋಟೋ ತೆಗೆ / ಚಿತ್ರ ತೆಗೆ,transitive,c1
7736,to snap (speak sharply or angrily),verb,ಸಿಡುಕು / ಗದರು,intransitive,c1
7737,snow,noun,ಹಿಮ / ಮಂಜು,N/A,a1
7738,to snow,verb,ಹಿಮ ಬೀಳು,intransitive,a1
7739,"so (therefore, as a result)",adverb,ಆದ್ದರಿಂದ / ಹಾಗಾಗಿ,N/A,a1
7740,"so (to that extent, very)",adverb,ಅಷ್ಟು / ಅಷ್ಟೊಂದು,N/A,a1
7741,"so (therefore, as a result)",conjunction,ಹಾಗಾಗಿ / ಆದ್ದರಿಂದ,N/A,a1
7742,"so (to that degree, intensity)",conjunction,ಅಷ್ಟು / ಅಷ್ಟೊಂದು,N/A,a1
7743,so-called,adjective,ಕರೆಯಲ್ಪಡುವ / ಎನ್ನಲಾದ / ಹೇಳಲಾಗುವ,N/A,b2
7744,to soak (become saturated),verb,ನೆನೆ / ನೆನೆದುಹೋಗು,intransitive,c1
7745,to soak (absorb figuratively),verb,ಹೀರಿಕೊಳ್ಳು / ಮಗ್ನವಾಗು / ತಲ್ಲೀನವಾಗು,transitive,c1
7746,"to soak (absorb atmosphere, experience)",verb,ಅನುಭವಿಸು / ಗ್ರಹಿಸು / ಆಸ್ವಾದಿಸು,transitive,c1
7747,soap,noun,ಸಾಬೂನು,N/A,a2
7748,to soar (fly high),verb,ಗಗನಕ್ಕೆ ಏರು / ಹಾರಾಡು / ಮೇಲೇರು,intransitive,c1
7749,to soar (increase rapidly),verb,ತೀವ್ರವಾಗಿ ಏರು / ಗಗನಕ್ಕೇರು / ಏರಿಕೆ ಕಾಣು,intransitive,c1
7750,"to increase rapidly (prices, numbers)",verb,ಏರು / ಹೆಚ್ಚಾಗು / ಗಗನಕ್ಕೇರು / ಶರವೇಗದಲ್ಲಿ ಏರು,intransitive,c1
7751,soccer,noun,ಫುಟ್ಬಾಲ್ / ಕಾಲ್ಚೆಂಡು,N/A,a2
7752,social,adjective,ಸಾಮಾಜಿಕ,N/A,a2
7753,socialist,adjective,ಸಮಾಜವಾದಿ,N/A,c1
7754,society (organized association),noun,ಸಂಘ / ಸಂಸ್ಥೆ,N/A,b1
7755,society (general sense of community),noun,ಸಮಾಜ / ಸಮುದಾಯ,N/A,b1
7756,sock,noun,ಸಾಕ್ಸ್ / ಕಾಲುಚೀಲ,N/A,a2
7757,"soft (gentle, mild)",adjective,ಮೃದುವಾದ / ಸೌಮ್ಯವಾದ,N/A,a2
7758,"soft (to the touch, material)",adjective,ಮೆತ್ತಗಿನ / ಮೃದುವಾದ,N/A,a2
7759,"soft (quiet sound, voice)",adjective,ಮೆಲುದನಿಯ / ನಿಧಾನವಾದ,N/A,a2
7760,software,noun,ತಂತ್ರಾಂಶ,N/A,b1
7761,soil,noun,ಮಣ್ಣು,N/A,b1
7762,solar,adjective,ಸೌರ,N/A,b2
7763,soldier,noun,ಸೈನಿಕ / ಯೋಧ / ಭಟ,N/A,a2
7764,sole,adjective,ಏಕೈಕ / ಒಂದೇ,N/A,c1
7765,solely,adverb,ಕೇವಲ / ಮಾತ್ರ,N/A,c1
7766,solicitor (legal professional),noun,ವಕೀಲ,N/A,c1
7767,"solicitor (one who requests funds, business)",noun,ಬೇಡಿಕೆದಾರ / ಸಂಗ್ರಾಹಕ,N/A,c1
7768,solid (physical state),adjective,ಘನ,N/A,b1
7769,"solid (reliable, sturdy)",adjective,ಗಟ್ಟಿ / ಭದ್ರ / ದೃಢವಾದ,N/A,b1
7770,"solid (substance, noun)",noun,ಘನ,N/A,b1
7771,"solidarity (formal, literary)",noun,ಒಗ್ಗಟ್ಟು / ಐಕ್ಯತೆ,N/A,c1
7772,solo,adjective,ಒಬ್ಬರೇ / ಏಕ,N/A,c1
7773,solo (musical performance),noun,ಏಕಾಂಕ ಪ್ರದರ್ಶನ / ಏಕವ್ಯಕ್ತಿ ಪ್ರದರ್ಶನ,N/A,c1
7774,"solution (to a problem, answer)",noun,ಪರಿಹಾರ,N/A,a2
7775,solution (liquid mixture),noun,ದ್ರಾವಣ,N/A,b1
7776,to solve (a dispute or conflict),verb,ಬಗೆಹರಿಸು / ಬಿಡಿಸು / ಪರಿಹರಿಸು,transitive,a2
7777,"some (determiner, countable/uncountable)",determiner,ಕೆಲವು / ಸ್ವಲ್ಪ,N/A,a1
7778,some (a few),pronoun,ಕೆಲವರು / ಕೆಲವು,N/A,a1
7779,some (a little bit),pronoun,ಸ್ವಲ್ಪ,N/A,a1
7780,some (an unknown specific),pronoun,ಯಾರೋ / ಯಾವುದೋ,N/A,a1
7781,somebody,pronoun,ಯಾರಾದರೂ / ಯಾರೋ ಒಬ್ಬರು,N/A,a1
7782,somehow (by some means),adverb,ಹೇಗಾದರೂ / ಹೇಗೋ ನೇಗೋ,N/A,b2
7783,somehow (for some unknown reason),adverb,ಏಕೋ ಏನೋ / ಯಾವುದೋ ಕಾರಣಕ್ಕೆ,N/A,b2
7784,someone,pronoun,ಯಾರಾದರೂ / ಯಾರೋ ಒಬ್ಬರು,N/A,a1
7785,something,pronoun,ಏನಾದರೂ / ಏನೋ ಒಂದು,N/A,a1
7786,sometime (at some point in the past),adverb,ಹಿಂದೆ / ಒಂದು ಕಾಲದಲ್ಲಿ,N/A,b2
7787,sometimes (occasionally),adverb,ಕೆಲವೊಮ್ಮೆ / ಕೆಲವು ಬಾರಿ,N/A,a1
7788,somewhat (to a certain extent),adverb,ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ / ಒಂದು ಮಟ್ಟಿಗೆ,N/A,b2
7789,somewhere (at an unknown place),adverb,ಎಲ್ಲೋ,N/A,a2
7790,"somewhere (to any place, indefinite)",pronoun,ಎಲ್ಲಾದರೂ,N/A,a2
7791,"son (literary, formal)",noun,ಸುತ / ಪುತ್ರ,N/A,a2
7792,son (common),noun,ಮಗ,N/A,a2
7793,"song (poetic, literary)",noun,ಗೀತೆ,N/A,a1
7794,"song (general, pop)",noun,ಹಾಡು,N/A,a1
7795,"soon (quickly, in a short time)",adverb,ಬೇಗನೆ / ಬೇಗ / ಶೀಘ್ರದಲ್ಲೇ,N/A,a1
7796,soon (formal),adverb,ಶೀಘ್ರದಲ್ಲೇ,N/A,a1
7797,"sophisticated (cultured, refined)",adjective,ಸುಸಂಸ್ಕೃತ / ಪರಿಷ್ಕೃತ,N/A,b2
7798,"sophisticated (refined, modern taste)",adjective,ಪರಿಷ್ಕೃತ / ಆಧುನಿಕ,N/A,b2
7799,"sophisticated (advanced, complex)",adjective,ಅತ್ಯಾಧುನಿಕ / ಸಂಕೀರ್ಣ,N/A,b2
7800,"sophisticated (complex, intricate)",adjective,ಸಂಕೀರ್ಣ / ಜಟಿಲ / ಕ್ಲಿಷ್ಟ,N/A,b2
7801,sorry (apology),adjective,ಕ್ಷಮಿಸಿ / ದಯವಿಟ್ಟು ಕ್ಷಮಿಸಿ,N/A,a1
7802,"sorry (feeling regret, pity)",adjective,ವಿಷಾದಕರ / ದುಃಖಕರ / ಕಳವಳಕಾರಿ,N/A,a2
7803,sorry (asking for repetition or interruption),exclamation,ಕ್ಷಮಿಸಿ / ದಯವಿಟ್ಟು,N/A,a1
7804,sorry (expressing regret or sympathy),exclamation,ಅಯ್ಯೋ / ಪಾಪ / ಕಷ್ಟವಾಯಿತು,N/A,a1
7805,sort,noun,ವಿಧ / ಪ್ರಕಾರ / ಬಗೆ,N/A,a2
7806,to sort (to categorize),verb,ವಿಂಗಡಿಸು / ವರ್ಗೀಕರಿಸು / ಬೇರ್ಪಡಿಸು,transitive,b1
7807,to sort (to resolve an issue),verb,ಬಗೆಹರಿಸು / ಇತ್ಯರ್ಥಪಡಿಸು / ಪರಿಹರಿಸು,transitive,b1
7808,"soul (essence, spirit)",noun,ಸತ್ವ / ತಿರುಳು / ಮೂಲಭೂತ ಅಂಶ,N/A,b2
7809,"soul (spirit, religious)",noun,ಆತ್ಮ / ಚೇತನ / ಜೀವ,N/A,b2
7810,sound (logical),adjective,ಸರಿಯಾದ / ತಾರ್ಕಿಕ / ಸಮಂಜಸವಾದ,N/A,c1
7811,sound (physically intact),adjective,ಅಖಂಡ / ಸುರಕ್ಷಿತ / ಭದ್ರ,N/A,c1
7812,"sound (deep, sleep)",adjective,ಗಾಢವಾದ / ಆಳವಾದ,N/A,c1
7813,sound,noun,ಶಬ್ದ / ಧ್ವನಿ / ನಾದ,N/A,a1
7814,to sound (make a noise),verb,ಶಬ್ದ ಮಾಡು / ಧ್ವನಿ ಹೊರಡಿಸು,intransitive,a1
7815,"to sound (to seem, to appear)",verb,ಅನಿಸು / ತೋರು,intransitive,a1
7816,soup,noun,ಸೂಪ್,N/A,a1
7817,"source (origin, beginning)",noun,ಮೂಲ / ಆಕರ / ಉಗಮ,N/A,a2
7818,"source (of information, data)",noun,ಮೂಲ / ಆಕರ / ಮಾಹಿತಿ ಮೂಲ,N/A,a2
7819,"south (direction, region)",adjective,ದಕ್ಷಿಣ,N/A,a1
7820,south (adverb: direction of travel),adverb,ದಕ್ಷಿಣಕ್ಕೆ,N/A,a1
7821,the South (noun: region),noun,ದಕ್ಷಿಣ,N/A,a1
7822,southern (adjective),adjective,ದಕ್ಷಿಣದ,N/A,a1
7823,south (the region of Southern India),noun,ದಕ್ಷಿಣ ಭಾರತ,N/A,a1
7824,"The South (contextual, e.g., in a local Indian context)",noun,ದಕ್ಷಿಣ,N/A,a1
7825,southern,adjective,ದಕ್ಷಿಣದ,N/A,b1
7826,sovereignty,noun,ಸಾರ್ವಭೌಮತ್ವ / ಪರಮಾಧಿಕಾರ,N/A,c1
7827,"space (physical area, room)",noun,ಜಾಗ / ಸ್ಥಳ / ಅವಕಾಶ,N/A,a1
7828,"space (outer space, cosmos)",noun,ಬಾಹ್ಯಾಕಾಶ / ಅಂತರಿಕ್ಷ / ಆಕಾಶ,N/A,a1
7829,spam,noun,ಸ್ಪ್ಯಾಮ್,N/A,c1
7830,span (duration),noun,ಅವಧಿ / ಕಾಲಾವಧಿ / ವ್ಯಾಪ್ತಿ,N/A,c1
7831,span (distance),noun,ವ್ಯಾಪ್ತಿ / ಹರವು / ಅಂತರ,N/A,c1
7832,to span (distance or space),verb,ವ್ಯಾಪಿಸು / ಹರಡು / ಆವರಿಸು,transitive,c1
7833,to span (a period of time),verb,ಒಳಗೊಳ್ಳು / ವ್ಯಾಪಿಸು / ಹಬ್ಬು,transitive,c1
7834,spare (additional),adjective,ಹೆಚ್ಚುವರಿ / ಬಿಡಿ / ಮೀಸಲು,N/A,b2
7835,spare (thin),adjective,ಸಣಕಲು / ತೆಳು / ಕೃಶ,N/A,b2
7836,"to spare (refrain from harming, punishing)",verb,ಉಳಿಸು / ಕ್ಷಮಿಸು / ಬಿಡು,transitive,c1
7837,"to spare (save resources, effort)",verb,ಉಳಿಸು / ಮಿತವ್ಯಯ ಮಾಡು,transitive,c1
7838,to spare (have available to give),verb,ನೀಡು / ಒದಗಿಸು / ಕೊಡಲು ಇರಿಸು,transitive,c1
7839,to spark (to initiate or cause),verb,ಪ್ರಾರಂಭಿಸು / ಪ್ರಚೋದಿಸು / ಹುಟ್ಟುಹಾಕು,transitive,c1
7840,to spark (to emit sparks),verb,ಕಿಡಿ ಹಾರು / ಕಿಡಿ ಚಿಮ್ಮಿಸು,intransitive,c1
7841,to speak,verb,ಮಾತಾಡು / ನುಡಿ / ಹೇಳು,intransitive,a1
7842,speaker (person giving a speech),noun,ಭಾಷಣಕಾರ / ವಕ್ತಾರ / ಮಾತನಾಡುವವರು,N/A,a2
7843,speaker (audio device),noun,ಸ್ಪೀಕರ್ / ಧ್ವನಿವರ್ಧಕ,N/A,a2
7844,"special (separate, individual)",adjective,ವಿಶೇಷ / ಪ್ರತ್ಯೇಕ / ವಿಶಿಷ್ಟ,N/A,a1
7845,"specialist (adjective, e.g., specialist doctor)",adjective,ವಿಶೇಷಜ್ಞರಾದ / ಪರಿಣಿತ / ನುರಿತ,N/A,b2
7846,specialist,noun,ವಿಶೇಷಜ್ಞ / ಪರಿಣಿತ / ನುರಿತ ವ್ಯಕ್ತಿ,N/A,b2
7847,to specialize,verb,ವಿಶೇಷಜ್ಞತೆ ಪಡೆ / ಪರಿಣತಿ ಪಡೆ / ನೈಪುಣ್ಯತೆ ಗಳಿಸು,intransitive,b2
7848,specialized,adjective,ವಿಶೇಷೀಕರಿಸಿದ / ನಿರ್ದಿಷ್ಟ / ವಿಶಿಷ್ಟ,N/A,c1
7849,species,noun,ಪ್ರಭೇದ / ಜಾತಿ / ವರ್ಗ,N/A,b2
7850,specific,adjective,ನಿರ್ದಿಷ್ಟ / ಖಚಿತ,N/A,a2
7851,"specifically (especially, particularly)",adverb,ನಿರ್ದಿಷ್ಟವಾಗಿ / ಮುಖ್ಯವಾಗಿ / ವಿಶೇಷವಾಗಿ,N/A,b1
7852,specification,noun,ವಿವರಣೆ / ನಿರ್ದಿಷ್ಟತೆ / ಗುಣಲಕ್ಷಣಗಳು,N/A,c1
7853,to specify,verb,ನಿರ್ದಿಷ್ಟಪಡಿಸು / ಸ್ಪಷ್ಟಪಡಿಸು / ತಿಳಿಸು,transitive,b2
7854,specimen (scientific sample),noun,ಮಾದರಿ / ನಮೂನೆ,N/A,c1
7855,specimen (representative instance),noun,ಮಾದರಿ / ನಮೂನೆ,N/A,c1
7856,spectacle (grand visual display),noun,ವೈಭವದ ಪ್ರದರ್ಶನ / ಭವ್ಯ ಪ್ರದರ್ಶನ / ಕಣ್ಮನ ಸೆಳೆಯುವ ದೃಶ್ಯ,N/A,c1
7857,spectacle (embarrassing public scene),noun,ನಾಟಕೀಯ ಪ್ರಸಂಗ / ಹಾಸ್ಯಾಸ್ಪದ ಪ್ರಸಂಗ,N/A,c1
7858,spectacles (eyeglasses),noun,ಕನ್ನಡಕ,N/A,c1
7859,spectacular,adjective,ಅದ್ಭುತ / ಭವ್ಯ / ವೈಭವಯುತ,N/A,b2
7860,spectator,noun,ಪ್ರೇಕ್ಷಕ / ವೀಕ್ಷಕ / ನೋಡುಗ,N/A,b2
7861,spectrum (scientific),noun,ವರ್ಣಪಟಲ,N/A,c1
7862,spectrum (range),noun,ವ್ಯಾಪ್ತಿ / ಶ್ರೇಣಿ / ಪರಿಧಿ,N/A,c1
7863,to speculate (to hypothesize),verb,ಊಹಿಸು / ಕಲ್ಪಿಸು / ಅಂದಾಜಿಸು,intransitive,b2
7864,to speculate (financially),verb,ಊಹಾಪೋಹ ಮಾಡು / ಸಟ್ಟಾ ವ್ಯಾಪಾರ ಮಾಡು,transitive,b2
7865,speculation (financial risk),noun,ಊಹಾಪೋಹ / ಸಟ್ಟಾ ವ್ಯಾಪಾರ,N/A,b2
7866,speculation (theory or conjecture),noun,ಊಹೆ / ಕಲ್ಪನೆ / ಅಂದಾಜು,N/A,b2
7867,"speech (general, faculty of speech)",noun,ಮಾತು / ನುಡಿ / ಭಾಷೆ,N/A,a2
7868,"speech (formal address, oration)",noun,ಭಾಷಣ / ಉಪನ್ಯಾಸ / ಪ್ರವಚನ,N/A,a2
7869,to speed (move fast),verb,ವೇಗವಾಗಿ ಚಲಿಸು / ವೇಗವಾಗಿ ಹೋಗು / ವೇಗ ಹೆಚ್ಚಿಸು,intransitive,a2
7870,"to speed (increase velocity, move fast)",verb,ವೇಗ ಹೆಚ್ಚಿಸು / ವೇಗಗೊಳಿಸು,intransitive,b2
7871,to speed (violate speed limits),verb,ಅತಿವೇಗ ಚಲಾಯಿಸು / ವೇಗದ ಮಿತಿ ಮೀರು,intransitive,b2
7872,spell (magic),noun,ಮಂತ್ರ / ಮಾಟ / ಜಾದೂ,N/A,c1
7873,spell (period of time),noun,ಅವಧಿ / ಕಾಲಾವಧಿ / ಸಮಯ,N/A,c1
7874,to spell (letters),verb,ಅಕ್ಷರ ಜೋಡಿಸು / ಕಾಗುಣಿತ ಹೇಳು,transitive,a1
7875,spelling,noun,ಕಾಗುಣಿತ,N/A,a1
7876,to spend (money),verb,ಖರ್ಚು ಮಾಡು / ವ್ಯಯಿಸು,transitive,a1
7877,to spend (time),verb,ಕಳಿ,transitive,a1
7878,"spending (expenditure, formal)",noun,ವೆಚ್ಚ / ಖರ್ಚು / ವ್ಯಯ,N/A,b2
7879,sphere (geometric shape),noun,ಗೋಳ,N/A,c1
7880,sphere (domain of influence),noun,ಕ್ಷೇತ್ರ / ವ್ಯಾಪ್ತಿ / ಪ್ರಭಾವಲಯ,N/A,c1
7881,"spice (fig., excitement or interest)",noun,ಹುರುಪು / ರುಚಿ / ಉತ್ಸಾಹ,N/A,b2
7882,"spicy (hot, pungent flavor)",adjective,ಖಾರವಾದ / ಮಸಾಲೆಯುಳ್ಳ / ತೀಕ್ಷ್ಣವಾದ,N/A,b1
7883,"spicy (suggestive, racy)",adjective,ಲೈಂಗಿಕ ಪ್ರಚೋದಕ / ಉದ್ರೇಕಕಾರಿ,N/A,b2
7884,"spicy (racy, gossipy)",adjective,ಬಿಸಿಬಿಸಿ / ರೋಚಕ / ಕುತೂಹಲಕಾರಿ,N/A,b2
7885,spicy (suggestive joke),adjective,ಚೇಷ್ಟೆಯ / ದ್ವಂದ್ವಾರ್ಥದ,N/A,b2
7886,spider,noun,ಜೇಡ,N/A,a2
7887,"to spill (liquid, powder, or grains)",verb,ಚೆಲ್ಲು / ಚೆಲ್ಲಿ ಹಾಕು,transitive,b2
7888,"to spill (overflow, flow out)",verb,ಚೆಲ್ಲಿ ಹೋಗು / ಉಕ್ಕಿ ಹರಿ,intransitive,b2
7889,spin (bias or interpretation),noun,ತಿರುಚಿದ ವ್ಯಾಖ್ಯಾನ / ಪಕ್ಷಪಾತ / ತಿರುಚು,N/A,c1
7890,to spin (yarn or thread),verb,ನೂಲು,transitive,c1
7891,to spin (information),verb,ತಿರುಚಿ ಹೇಳು / ತಪ್ಪು ಮಾಹಿತಿ ನೀಡು,transitive,c1
7892,spine (of a book),noun,ಪುಸ್ತಕದ ಬೆನ್ನು / ಬೆನ್ನು,N/A,c1
7893,spine (sharp projection),noun,ಮುಳ್ಳು,N/A,c1
7894,spirit (soul or ghost),noun,ಆತ್ಮ / ಭೂತ / ಪ್ರೇತ,N/A,b1
7895,spirit (attitude or morale),noun,ಮನೋಬಲ / ಉತ್ಸಾಹ / ಧೈರ್ಯ / ಹುರುಪು,N/A,b1
7896,spirit (alcoholic drink),noun,ಮದ್ಯ,N/A,b2
7897,spiritual,adjective,ಆಧ್ಯಾತ್ಮಿಕ,N/A,b2
7898,spite,noun,ವೈಷಮ್ಯ / ದ್ವೇಷ / ಕಿಚ್ಚು,N/A,b2
7899,"split (physical tear, crack)",noun,ಸೀಳು / ಬಿರುಕು / ಛಿದ್ರ,N/A,b2
7905,"to spoil (by overindulgence, ruin character)",verb,ಹಾಳುಮಾಡು / ಕೆಡಿಸು / ಭ್ರಷ್ಟಗೊಳಿಸು,transitive,b2
7933,"senior (higher rank, status)",adjective,ಹಿರಿಯ / ಉನ್ನತ / ಶ್ರೇಷ್ಠ,N/A,b2
7946,"sensitivity (physical, technical)",noun,ಸೂಕ್ಷ್ಮತೆ / ಸಂವೇದನಶೀಲತೆ / ಪ್ರತಿಕ್ರಿಯಾಶೀಲತೆ,N/A,c1
7950,sentiment (emotional state),noun,ಭಾವನೆ / ಮನೋಭಾವ / ಅನುಭಾವ,N/A,c1
7951,"sentiment (collective mood, opinion)",noun,ಸಾರ್ವಜನಿಕ ಅಭಿಪ್ರಾಯ / ಜನಮತ / ಮನೋಭಾವ,N/A,c1
7952,"to separate (things, objects)",verb,ಬೇರೆ ಮಾಡು / ಪ್ರತ್ಯೇಕಿಸು / ವಿಂಗಡಿಸು / ಬಿಡಿಸು,transitive,a2
7953,to separate (intransitive),verb,ಬೇರೆ ಆಗು / ಪ್ರತ್ಯೇಕವಾಗು / ದೂರವಾಗು,intransitive,a2
7954,to separate (to divide physically),verb,ವಿಭಜಿಸು / ಪ್ರತ್ಯೇಕಿಸು / ವಿಂಗಡಿಸು,transitive,b1
7955,to separate (to part company or end a relationship),verb,ದೂರವಾಗು / ಬೇರೆ ಆಗು / ಅಗಲು,intransitive,b1
7956,"separation (marital, legal)",noun,ವಿಚ್ಛೇದನ / ಪ್ರತ್ಯೇಕತೆ / ಅಗಲಿಕೆ,N/A,c1
7957,separation (employment),noun,ಸೇವಾವಿಮುಕ್ತಿ / ವಜಾ / ಕೆಲಸದಿಂದ ತೆಗೆದುಹಾಕುವಿಕೆ,N/A,c1
7959,sequence (order of events),noun,ಅನುಕ್ರಮ / ಸರಣಿ / ಕ್ರಮ,N/A,b2
7960,sequence (film segment),noun,ದೃಶ್ಯ / ಭಾಗ / ಸನ್ನಿವೇಶ,N/A,b2
7961,serial (repeated offenses),adjective,ಸರಣಿ / ನಿರಂತರ,N/A,c1
7962,series (TV show),noun,ಸರಣಿ / ಧಾರಾವಾಹಿ,N/A,a2
7963,series (sequence of events),noun,ಸರಣಿ / ಅನುಕ್ರಮ / ಕ್ರಮ,N/A,a2
7964,serious (severe),adjective,ಗಂಭೀರ / ತೀವ್ರ / ಕಠಿಣ,N/A,a2
7965,"seriously (gravely, severely)",adverb,ಗಂಭೀರವಾಗಿ / ತೀವ್ರವಾಗಿ,N/A,b1
7966,"seriously (exclamatory, expressing disbelief)",adverb,ನಿಜವಾಗ್ಲೂ / ನಿಜವೇ,N/A,b1
7967,"servant (general, formal)",noun,ಸೇವಕ / ದಾಸ / ನೌಕರ,N/A,b1
7968,servant (domestic worker),noun,ಕೆಲಸದವರು / ಮನೆ ಕೆಲಸದವರು / ಆಳು,N/A,b1
7969,"to serve (food, drink)",verb,ಬಡಿಸು / ಪೂರೈಸು,transitive,a2
7970,"to serve (as a duty, job)",verb,ಸೇವೆ ಮಾಡು / ಕರ್ತವ್ಯ ನಿರ್ವಹಿಸು,transitive,a2
7971,"service (duty, assistance)",noun,ಸೇವೆ / ಸಹಾಯ / ಕರ್ತವ್ಯ,N/A,a2
7972,"service (maintenance, repair)",noun,ಸರ್ವೀಸ್ / ದುರಸ್ತಿ / ನಿರ್ವಹಣೆ,N/A,b1
7973,session (official or formal meeting),noun,ಅಧಿವೇಶನ / ಸಭೆ / ಅಧಿವೇಶನ ಕಾಲ,N/A,b2
7974,set (collection of objects),noun,ಸೆಟ್ / ಗುಂಪು / ಸಮೂಹ,N/A,b1
7975,"set (sports, performance segment)",noun,ಸೆಟ್ / ಸುತ್ತು / ಭಾಗ,N/A,b1
7976,to set (to place down),verb,ಇಡು / ಹಾಕು / ಇರಿಸು,transitive,b1
7977,"to set (a date, price, goal)",verb,ನಿಗದಿಪಡಿಸು / ನಿರ್ಧರಿಸು / ಗೊತ್ತುಪಡಿಸು,transitive,b1
7978,"to set (sun, star)",verb,ಮುಳುಗು / ಅಸ್ತಮಿಸು,intransitive,b1
7979,to set (the table),verb,ಮೇಜು ಸಿದ್ಧಪಡಿಸು / ಮೇಜು ಹಾಕು,transitive,b1
7980,"to set (an alarm, timer)",verb,ಹೊಂದಿಸು / ಸರಿಪಡಿಸು,transitive,b1
7981,set-up (organization or system),noun,ವ್ಯವಸ್ಥೆ / ಸಂಘಟನೆ / ಏರ್ಪಾಡು,N/A,c1
7982,set-up (deceitful scheme or trap),noun,ಸಂಚು / ಕುತಂತ್ರ / ಮೋಸ,N/A,c1
7983,"setting (environment, location)",noun,ಸ್ಥಳ / ಪರಿಸರ / ವಾತಾವರಣ,N/A,b1
7984,"setting (of a story, context)",noun,ಹಿನ್ನೆಲೆ / ಸಂದರ್ಭ / ಪರಿಸರ,N/A,b1
7985,"setting (configuration, mode)",noun,ಹೊಂದಾಣಿಕೆ / ಸಂರಚನೆ / ಸೆಟ್ಟಿಂಗ್ಸ್,N/A,b1
7986,to settle (to reside),verb,ನೆಲೆಸು / ವಾಸಿಸು / ಬೀಡುಬಿಡು,intransitive,b2
7987,to settle (a dispute),verb,ಇತ್ಯರ್ಥ ಮಾಡು / ಬಗೆಹರಿಸು / ಇತ್ಯರ್ಥಪಡಿಸು,transitive,b2
7988,to settle (a payment),verb,ತೀರಿಸು / ಪಾವತಿಸು / ಚುಕ್ತಾ ಮಾಡು,transitive,b2
7989,settlement (resolution of dispute),noun,ಇತ್ಯರ್ಥ / ಪರಿಹಾರ / ರಾಜಿ,N/A,c1
7990,settlement (place of habitation),noun,ವಸಾಹತು / ನೆಲೆ / ಜನವಸತಿ,N/A,c1
7991,settlement (payment of debt),noun,ಪಾವತಿ / ತೀರುವಳಿ / ಚುಕ್ತಾ,N/A,c1
7992,settler,noun,ವಸಾಹತುಗಾರ / ನೆಲೆಸಿಗ,N/A,b2
7996,several,determiner,ಕೆಲವು / ಒಂದಿಷ್ಟು,N/A,a2
7997,several,pronoun,ಕೆಲವು / ಒಂದಿಷ್ಟು,N/A,a2
7998,several (people),pronoun,ಕೆಲವರು / ಕೆಲ ಮಂದಿ,N/A,a2
7999,"severe (strict, austere)",adjective,ಕಠಿಣ / ಕಠೋರ / ತೀವ್ರ,N/A,b2
